,outcome,sumfg,sumfg3,sumft,sumorb,sumast,sumpts,sumdrb,sumstl,sumblk,Offensive Effort,Defensive Effort
1935,1,50,11,25,6,32,136,41,14,9,1,1
1936,1,65,23,27,16,40,180,62,16,4,1,1
1937,0,61,23,9,4,34,154,57,10,7,0,0
1938,1,37,17,18,15,20,109,35,7,4,0,0
1939,0,77,30,10,18,64,194,54,16,10,1,1
1940,0,39,11,17,6,25,106,26,10,3,0,0
1941,1,74,26,42,20,53,216,63,13,8,1,1
1942,0,63,32,41,5,32,199,60,11,8,0,1
1943,1,61,22,56,18,42,200,65,10,6,1,0
1944,0,40,11,13,15,22,104,30,12,2,0,0
1945,1,60,14,40,18,30,174,50,20,7,1,1
1946,0,77,26,32,15,54,212,54,8,3,1,0
1947,1,69,17,36,9,50,191,46,12,6,0,1
1948,0,97,42,56,23,60,292,82,14,8,1,0
1949,1,91,37,56,9,44,275,66,22,19,0,1
1950,0,63,17,50,23,31,193,57,15,7,0,0
1951,1,69,23,47,12,45,208,73,16,8,1,1
1952,0,42,13,38,10,25,135,29,9,5,0,0
1953,1,80,23,43,13,37,226,48,17,12,1,1
1954,0,46,12,16,8,22,120,34,11,2,0,1
1955,1,48,11,22,9,32,129,33,6,4,1,0
1956,1,42,11,30,4,29,125,33,10,3,1,1
1957,0,42,8,20,8,18,112,28,7,2,0,0
1958,0,67,15,27,26,45,176,39,13,3,0,0
1959,1,72,22,64,11,55,230,60,13,3,1,0
1960,1,85,26,30,16,50,226,41,15,7,1,0
1961,0,69,17,27,27,32,182,49,10,7,0,0
1962,1,73,50,46,11,42,242,72,18,3,1,1
1963,0,38,9,18,9,24,103,39,4,1,0,0
1964,1,70,20,31,19,34,191,62,17,14,1,1
1965,0,57,15,31,18,30,160,37,19,6,0,0
1966,0,57,20,47,15,34,181,61,16,23,0,1
1967,1,60,23,34,12,42,177,72,13,8,1,0
1968,1,71,34,46,7,41,222,54,17,9,1,1
1969,0,67,32,16,14,39,182,40,13,8,0,0
1970,1,64,20,52,21,38,200,58,8,7,1,1
1971,0,40,9,21,10,26,110,36,6,6,0,0
1972,1,62,41,44,11,36,209,55,30,5,1,0
1973,0,79,17,27,27,35,202,83,12,9,0,1
1974,0,42,7,15,3,27,106,36,5,3,0,0
1975,1,36,12,24,12,22,108,37,5,6,1,1
1976,1,62,27,42,20,42,193,46,13,5,1,1
1977,0,45,8,18,9,30,116,30,10,0,0,0
1978,0,72,12,66,18,43,222,77,16,10,1,1
1979,1,42,12,21,6,22,117,43,5,4,0,0
1980,0,68,24,29,13,56,189,65,17,15,1,1
1981,1,49,30,57,5,33,185,59,11,4,0,0
1982,0,37,12,13,8,25,99,35,3,10,0,0
1983,1,37,11,24,8,25,109,41,7,1,0,1
1984,1,68,14,45,15,32,195,61,17,6,0,0
1985,0,71,30,45,13,39,217,61,8,10,1,0
1986,1,79,28,43,14,42,229,45,10,11,1,1
